param,beta,se,ci_lo,ci_hi
Lv,-0.06854933928922134,0.0010625940765337895,-0.07063202367922757,-0.06646665489921512
Lp,-1.4511757090845874,0.013882432818454195,-1.4783852774087576,-1.4239661407604172
Lr,2.2701590015231026,0.07689082806024754,2.1194529785250174,2.420865024521188
Lda,-12.22718172969926,0.06904469198358701,-12.36250932598709,-12.091854133411431
Ldr,-2.5770837534178894e-10,1.65900347803336e-11,-2.902248435112428e-10,-2.251919071723351e-10
L0,-0.01874184092201683,0.0012065170278906213,-0.02110661429668245,-0.01637706754735121
