param,beta,se,ci_lo,ci_hi
Lv,-0.16257323409435723,0.001658584925129544,-0.16582406054761115,-0.1593224076411033
Lp,-0.849441411124042,0.012715777858016647,-0.8743643357257547,-0.8245184865223294
Lr,13.823886854161785,0.18413240704042724,13.462987336362547,14.184786371961023
Lda,-9.624135425125422,0.06279871107851412,-9.74722089883931,-9.501049951411535
Ldr,-8.446146292867039e-11,6.2785978802174545e-12,-9.67675147738966e-11,-7.215541108344418e-11
L0,-0.006142450503104901,0.0004566133199111694,-0.007037412610130793,-0.00524748839607901
