param,beta,se,ci_lo,ci_hi
Mu,0.0019398768391349036,0.00011746366282321311,0.001709648060001406,0.002170105618268401
Mw,-0.026242111476576145,0.0005509158595144321,-0.02732190656122443,-0.02516231639192786
Mq,-0.11718833078441632,0.038552215229040114,-0.19275067263333495,-0.041625988935497696
Mde,8.563120827719028e-06,9.496339296482762e-07,6.701838325608407e-06,1.0424403329829649e-05
M0,-0.0002730175165503148,3.0277127035878156e-05,-0.000332360685540636,-0.0002136743475599936
