param,beta,se,ci_lo,ci_hi
Lv,-0.07295310859487841,0.0011461841959543204,-0.07519962961894888,-0.07070658757080794
Lp,-1.44685955153099,0.014103966714723597,-1.4745033262918483,-1.4192157767701319
Lr,2.5065196120820237,0.08308534811758098,2.343672329771565,2.6693668943924824
Lda,-12.338291146041184,0.07016316256831989,-12.475810944675091,-12.200771347407278
Ldr,3.8033609826724795e-10,2.3405974517619964e-11,3.344603882127128e-10,4.262118083217831e-10
L0,0.027660210675734324,0.0017022091549968865,0.024323880731940428,0.03099654061952822
