param,beta,se,ci_lo,ci_hi
Yv,-0.22487330077833398,0.00196738534499574,-0.22872937605452562,-0.22101722550214234
Yp,7.521589813598695,0.03544077163096544,7.4521259012020025,7.591053725995387
Yr,-123.90096856336604,0.5880832007063145,-125.05361163675042,-122.74832548998165
Yphi_g,0.9166852459313701,0.004375502181162333,0.9081092616562919,0.9252612302064483
Yda,-2.582588785894514,0.16793693591375575,-2.9117451802854752,-2.2534323915035523
Ydr,-2.5491309158561964e-10,4.065537581827866e-11,-3.3459762818944583e-10,-1.7522855498179347e-10
Y0,-0.01853754587673311,0.002956678994492491,-0.02433263670593839,-0.012742455047527827
