param,beta,se,ci_lo,ci_hi
Nv,0.026868132712521843,0.0002007400801166561,0.026474682155493198,0.02726158326955049
Np,-0.15095799946712912,0.0015390024516016235,-0.1539744442722683,-0.14794155466198994
Nr,-2.2703245902043987,0.022285716927326536,-2.3140045953819586,-2.226644585026839
Nda,-0.724268429542651,0.007600586561546769,-0.7391655792032827,-0.7093712798820193
Ndr,1.3894796316012893e-11,7.599045562268558e-13,1.2405383385808256e-11,1.538420924621753e-11
N0,0.0010105003117823132,5.5264335900159776e-05,0.000902182213418,0.0011188184101466265
