param,beta,se,ci_lo,ci_hi
Yv,-0.09823991794708467,0.00045778810219180015,-0.0991371826273806,-0.09734265326678875
Yp,8.04796682429922,0.00298811838891027,8.042110112256955,8.053823536341485
Yr,-118.6459611372554,0.04377968281083943,-118.73176931556465,-118.56015295894615
Yphi_g,0.9483506980916171,0.0006610369658883415,0.947055065638476,0.9496463305447582
Yda,-0.6884123582582988,0.01371781347029962,-0.7152992726600861,-0.6615254438565116
Ydr,-5.924768905704442e-12,1.2357879558551688e-12,-8.346913299180572e-12,-3.502624512228311e-12
Y0,-0.0004300739265343296,8.987320961846837e-05,-0.0006062254173865276,-0.0002539224356821316
