param,beta,se,ci_lo,ci_hi
Zu,-0.13261397248396312,0.003455748932465267,-0.13938724039159503,-0.1258407045763312
Zw,0.8442926091161641,0.024173348768859324,0.7969128455291998,0.8916723727031284
ZqU0,0.4070300427102344,0.009444116075230687,0.38851957520278224,0.4255405102176866
Zde,0.0008931031259547529,0.00010267424124929665,0.0006918616131061315,0.0010943446388033745
Z0,-0.028474758489516357,0.0032735572608621347,-0.03489093072080614,-0.022058586258226574
