param,beta,se,ci_lo,ci_hi
Mu,0.0035866068971119208,7.846928774738214e-05,0.0034328070931270516,0.00374040670109679
Mw,-0.02790605214206262,0.0005624843616254592,-0.02900852149084852,-0.026803582793276718
Mq,-1.105097832894219,0.026383992037319722,-1.1568104572873656,-1.0533852085010722
Mde,2.066082075747104e-05,4.3923417673790175e-06,1.2051830893408166e-05,2.9269810621533915e-05
M0,-0.0006587278268168196,0.00014004079416124338,-0.0009332077833728565,-0.00038424787026078254
