param,beta,se,ci_lo,ci_hi
Nv,0.008519853451200982,0.00016652502208916516,0.008193464407906218,0.008846242494495745
Np,-0.041819795185204525,0.0021755931853916412,-0.04608395782857214,-0.03755563254183691
Nr,-0.38813440660931714,0.012049988912939095,-0.41175238487867777,-0.3645164283399565
Nda,-0.31059267685738534,0.010820377330929734,-0.3318006164260076,-0.28938473728876307
Ndr,4.9167882174663033e-11,2.599916533759466e-12,4.407204576849448e-11,5.4263718580831585e-11
N0,0.003575755671810144,0.0001890799875111582,0.0032051588962882737,0.003946352447332014
