param,beta,se,ci_lo,ci_hi
Yv,-0.15187676797905006,0.0010097730823020123,-0.153855923220362,-0.1498976127377381
Yp,7.7971501413472915,0.019486872873294786,7.758955870515634,7.835344412178949
Yr,-121.6104575504545,0.299437270856006,-122.19735460133226,-121.02356049957673
Yphi_g,0.936345722393549,0.0023191625842443756,0.93180016372843,0.9408912810586679
Yda,-1.5210983478478983,0.08840843176507311,-1.6943788741074417,-1.347817821588355
Ydr,4.626927057227804e-11,1.5598045866527658e-11,1.5697100673883832e-11,7.684144047067225e-11
Y0,0.0033642157036553612,0.0011343743853297905,0.0011408419084089718,0.00558758949890175
