param,beta,se,ci_lo,ci_hi
Nv,0.008909160375436832,0.0001737432378628784,0.008568623629225591,0.009249697121648073
Np,-0.05083965446381812,0.0021379363390070694,-0.05503000968827198,-0.04664929923936426
Nr,-0.41253492831232835,0.01259441322944941,-0.43721997824204917,-0.38784987838260754
Nda,-0.3324719751205434,0.010635616060967953,-0.3533177826000406,-0.31162616764104617
Ndr,-6.848166762413029e-11,3.547972317522153e-12,-7.543569336647371e-11,-6.152764188178687e-11
N0,-0.004980356299222183,0.0002580277508212824,-0.005486090690831896,-0.004474621907612469
