File,Suffix,Sensor,Mean,Std,RMSE
dedoublet_1.mat,_sigmaV3,GPS,[-0.     -0.     -0.      0.001  -0.      0.0914],[0.     0.0005 0.     0.004  0.     0.0174],[0.     0.0005 0.     0.0041 0.     0.093 ]
dedoublet_1.mat,_sigmaV3,Airdata,[ 0.7669  0.0046 -0.    ],[1.1532 0.0038 0.    ],[1.3849 0.006  0.    ]
dr3211_1.mat,_nominal,GPS,[ 0.     -0.      0.     -0.0009  0.0031  0.0912],[0.0002 0.     0.0001 0.0004 0.0043 0.0007],[0.0002 0.     0.0001 0.001  0.0053 0.0912]
dr3211_1.mat,_nominal,Airdata,[0.0163 0.0046 0.0003],[0.0046 0.0002 0.0009],[0.0169 0.0046 0.001 ]
dr3211_1.mat,_sigmaV3,GPS,[ 0.     -0.      0.      0.0008  0.0031  0.0913],[0.0002 0.     0.0001 0.0004 0.0043 0.0007],[0.0002 0.     0.0001 0.0009 0.0053 0.0913]
dr3211_1.mat,_sigmaV3,Airdata,[4.89e-01 4.60e-03 3.00e-04],[0.0706 0.0002 0.0009],[0.4941 0.0046 0.001 ]
dr3211_2.mat,_nominal,GPS,[-0.     -0.     -0.     -0.0009 -0.0047  0.0913],[0.0003 0.     0.0002 0.0007 0.0064 0.0013],[0.0003 0.     0.0002 0.0012 0.0079 0.0913]
dr3211_2.mat,_nominal,Airdata,[ 0.0171  0.0046 -0.0005],[0.0051 0.0002 0.0013],[0.0178 0.0046 0.0014]
dr3211_2.mat,_sigmaV3,GPS,[-0.     -0.     -0.      0.0009 -0.0047  0.0913],[0.0003 0.     0.0002 0.0008 0.0064 0.0013],[0.0003 0.     0.0002 0.0012 0.0079 0.0913]
dr3211_2.mat,_sigmaV3,Airdata,[ 5.411e-01  4.600e-03 -5.000e-04],[0.125  0.0002 0.0013],[0.5554 0.0046 0.0014]
drdoublet_1.mat,_nominal,GPS,[-0.      0.      0.     -0.0009  0.0001  0.0912],[0.0001 0.     0.0001 0.0003 0.0023 0.0004],[0.0001 0.     0.0001 0.0009 0.0023 0.0912]
drdoublet_1.mat,_nominal,Airdata,[0.0156 0.0046 0.    ],[0.0045 0.0001 0.0007],[0.0163 0.0046 0.0007]
drdoublet_1.mat,_sigmaV3,GPS,[-0.      0.      0.      0.0007  0.0001  0.0912],[0.0001 0.     0.0001 0.0001 0.0023 0.0004],[0.0001 0.     0.0001 0.0008 0.0023 0.0912]
drdoublet_1.mat,_sigmaV3,Airdata,[0.4575 0.0046 0.    ],[0.0581 0.0001 0.0007],[0.4611 0.0046 0.0007]
